log_id|provider_id|role|specialty|panel_seq
88228907|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88228907|A00494|Anesthesiologist|Anesthesiology|
88228907|N01169|Circulating Nurse|Nursing|
88251923|S03370|Primary Surgeon|Urology|1
88251923|S09031|Assistant Surgeon|General Surgery|2
88251923|A00415|Anesthesiologist|Anesthesiology|
88251923|N01161|Circulating Nurse|Nursing|
88223838|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88223838|S09026|Assistant Surgeon|Obstetrics & Gynecology|2
88223838|A00410|Anesthesiologist|Anesthesiology|
88223838|N01191|Circulating Nurse|Nursing|
88243703|S02901|Primary Surgeon|General Surgery|1
88243703|A00569|Anesthesiologist|Anesthesiology|
88243703|N01060|Circulating Nurse|Nursing|
88253293|S03318|Primary Surgeon|Urology|1
88253293|S09014|Assistant Surgeon|General Surgery|2
88253293|S09051|Assistant Surgeon|Colon & Rectal Surgery|3
88253293|A00595|Anesthesiologist|Anesthesiology|
88253293|N01013|Circulating Nurse|Nursing|
88236442|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88236442|S09033|Assistant Surgeon|Obstetrics & Gynecology|2
88236442|A00488|Anesthesiologist|Anesthesiology|
88236442|N01199|Circulating Nurse|Nursing|
88231784|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88231784|A00488|Anesthesiologist|Anesthesiology|
88231784|N01085|Circulating Nurse|Nursing|
88232195|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88232195|A00540|Anesthesiologist|Anesthesiology|
88232195|N01126|Circulating Nurse|Nursing|
88202740|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88202740|A00578|Anesthesiologist|Anesthesiology|
88202740|N01103|Circulating Nurse|Nursing|
88204932|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88204932|A00560|Anesthesiologist|Anesthesiology|
88204932|N01123|Circulating Nurse|Nursing|
88251649|S03370|Primary Surgeon|Urology|1
88251649|S09013|Assistant Surgeon|General Surgery|2
88251649|A00401|Anesthesiologist|Anesthesiology|
88251649|N01007|Circulating Nurse|Nursing|
88214659|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88214659|A00400|Anesthesiologist|Anesthesiology|
88214659|N01022|Circulating Nurse|Nursing|
88201096|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88201096|A00516|Anesthesiologist|Anesthesiology|
88201096|N01017|Circulating Nurse|Nursing|
88212467|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88212467|A00586|Anesthesiologist|Anesthesiology|
88212467|N01067|Circulating Nurse|Nursing|
88237401|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88237401|A00426|Anesthesiologist|Anesthesiology|
88237401|N01182|Circulating Nurse|Nursing|
88236579|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88236579|S09019|Assistant Surgeon|Colon & Rectal Surgery|2
88236579|A00454|Anesthesiologist|Anesthesiology|
88236579|N01082|Circulating Nurse|Nursing|
88211097|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88211097|A00552|Anesthesiologist|Anesthesiology|
88211097|N01120|Circulating Nurse|Nursing|
88245621|S02955|Primary Surgeon|General Surgery|1
88245621|A00551|Anesthesiologist|Anesthesiology|
88245621|N01084|Circulating Nurse|Nursing|
88221372|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88221372|A00514|Anesthesiologist|Anesthesiology|
88221372|N01148|Circulating Nurse|Nursing|
88234935|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88234935|A00505|Anesthesiologist|Anesthesiology|
88234935|N01163|Circulating Nurse|Nursing|
88214933|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88214933|A00533|Anesthesiologist|Anesthesiology|
88214933|N01150|Circulating Nurse|Nursing|
88231373|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88231373|S09017|Assistant Surgeon|Colon & Rectal Surgery|2
88231373|A00413|Anesthesiologist|Anesthesiology|
88231373|N01020|Circulating Nurse|Nursing|
88239045|S01402|Primary Surgeon|Obstetrics & Gynecology|1
